"","MUNICIPIO","iteracion","ranking"
"416","Ixmiquilpan","Km,18",41
"417","Ixmiquilpan","Km,20",41
"418","Ixmiquilpan","Km,22",41
"419","Ixmiquilpan","Km,24",41
"420","Ixmiquilpan","Km,26",41
"421","Jacala","Km, 0",36
"422","Jacala","Km,2",56
"423","Jacala","Km,4",58
"424","Jacala","Km,6",58
"425","Jacala","Km,8",58
"426","Jacala","Km,10",58
"427","Jacala","Km,12",59
"428","Jacala","Km,14",59
"429","Jacala","Km,16",59
"430","Jacala","Km,18",59
"431","Jacala","Km,20",59
"432","Jacala","Km,22",59
"433","Jacala","Km,24",59
"434","Jacala","Km,26",59
"435","Jaltocan","Km, 0",75
"436","Jaltocan","Km,2",40
"437","Jaltocan","Km,4",47
"438","Jaltocan","Km,6",51
"439","Jaltocan","Km,8",52
"440","Jaltocan","Km,10",55
"441","Jaltocan","Km,12",55
"442","Jaltocan","Km,14",55
"443","Jaltocan","Km,16",55
"444","Jaltocan","Km,18",55
"445","Jaltocan","Km,20",55
"446","Jaltocan","Km,22",55
"447","Jaltocan","Km,24",55
"448","Jaltocan","Km,26",55
"449","Juarez Hidalgo","Km, 0",76
"450","Juarez Hidalgo","Km,2",63
"451","Juarez Hidalgo","Km,4",65
"452","Juarez Hidalgo","Km,6",60
"453","Juarez Hidalgo","Km,8",59
"454","Juarez Hidalgo","Km,10",59
"455","Juarez Hidalgo","Km,12",58
"456","Juarez Hidalgo","Km,14",58
"457","Juarez Hidalgo","Km,16",58
"458","Juarez Hidalgo","Km,18",58
"459","Juarez Hidalgo","Km,20",58
"460","Juarez Hidalgo","Km,22",58
"461","Juarez Hidalgo","Km,24",58
"462","Juarez Hidalgo","Km,26",58
"463","Lolotla","Km, 0",68
"464","Lolotla","Km,2",76
"465","Lolotla","Km,4",76
"466","Lolotla","Km,6",75
"467","Lolotla","Km,8",75
"468","Lolotla","Km,10",75
"469","Lolotla","Km,12",75
"470","Lolotla","Km,14",75
"471","Lolotla","Km,16",75
"472","Lolotla","Km,18",75
"473","Lolotla","Km,20",75
"474","Lolotla","Km,22",75
"475","Lolotla","Km,24",75
"476","Lolotla","Km,26",75
"477","Metepec","Km, 0",20
"478","Metepec","Km,2",18
"479","Metepec","Km,4",17
"480","Metepec","Km,6",18
"481","Metepec","Km,8",18
"482","Metepec","Km,10",18
"483","Metepec","Km,12",19
"484","Metepec","Km,14",19
"485","Metepec","Km,16",19
"486","Metepec","Km,18",19
"487","Metepec","Km,20",19
"488","Metepec","Km,22",19
"489","Metepec","Km,24",19
"490","Metepec","Km,26",19
"491","SAM","Km, 0",35
"492","SAM","Km,2",42
"493","SAM","Km,4",48
"494","SAM","Km,6",50
"495","SAM","Km,8",50
"496","SAM","Km,10",51
"497","SAM","Km,12",52
"498","SAM","Km,14",52
"499","SAM","Km,16",53
"500","SAM","Km,18",53
"501","SAM","Km,20",53
"502","SAM","Km,22",53
"503","SAM","Km,24",53
"504","SAM","Km,26",53
"505","Metztitlan","Km, 0",40
"506","Metztitlan","Km,2",60
"507","Metztitlan","Km,4",62
"508","Metztitlan","Km,6",62
"509","Metztitlan","Km,8",62
"510","Metztitlan","Km,10",61
"511","Metztitlan","Km,12",62
"512","Metztitlan","Km,14",62
"513","Metztitlan","Km,16",62
"514","Metztitlan","Km,18",62
"515","Metztitlan","Km,20",62
"516","Metztitlan","Km,22",62
"517","Metztitlan","Km,24",62
"518","Metztitlan","Km,26",62
"519","Mineral Del Chico","Km, 0",80
"520","Mineral Del Chico","Km,2",83
"521","Mineral Del Chico","Km,4",83
"522","Mineral Del Chico","Km,6",83
"523","Mineral Del Chico","Km,8",83
"524","Mineral Del Chico","Km,10",83
"525","Mineral Del Chico","Km,12",83
"526","Mineral Del Chico","Km,14",83
"527","Mineral Del Chico","Km,16",83
